# Logfile created on 2026-02-11 05:35:43 +0100 by logger.rb/v1.4.3
2026-02-11 05:35:44 +0100: Memory Usage (440032K) : topmetal1_pin has 1 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440032K) : topmetal1_mask has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440160K) : topmetal1_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440160K) : topmetal1_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440160K) : topmetal1_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440288K) : topmetal1_text has 1 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440288K) : topmetal1_noqrc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440416K) : topmetal1_res has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440416K) : topmetal1_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440544K) : topmetal1_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440544K) : inldpwl_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440544K) : polyres_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440672K) : polyres_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440672K) : vmim_drw has 2688 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440800K) : nbulaycut_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440800K) : antmetal1_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440928K) : topvia2_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440928K) : topmetal2_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (440928K) : topmetal2_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441056K) : topmetal2_mask has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441056K) : topmetal2_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441184K) : topmetal2_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441184K) : topmetal2_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441184K) : topmetal2_text has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441312K) : topmetal2_noqrc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441312K) : topmetal2_res has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441440K) : topmetal2_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441440K) : topmetal2_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441440K) : snsring_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441568K) : sensor_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441568K) : snsarms_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441696K) : snscmosvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441696K) : colwind_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441824K) : flm_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441824K) : hafniumox_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441824K) : memvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441952K) : thinfilmres_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (441952K) : rfmem_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442080K) : norcx_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442080K) : norcx_m2m3 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442208K) : norcx_m2m4 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442208K) : norcx_m2m5 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m2tm1 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m2tm2 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m3m4 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m3m5 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m3tm1 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m3tm2 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m4m5 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442336K) : norcx_m4tm1 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442464K) : norcx_m4tm2 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442464K) : norcx_m5tm1 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442592K) : norcx_m5tm2 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442592K) : norcx_tm1tm2 has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442720K) : norcx_m1sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442720K) : norcx_m2sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442720K) : norcx_m3sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442848K) : norcx_m4sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442848K) : norcx_m5sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442976K) : norcx_tm1sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442976K) : norcx_tm2sub has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (442976K) : snsbotvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443104K) : snstopvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443104K) : deepvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443232K) : fgetch_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443232K) : ctrgat_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443360K) : fgimp_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443360K) : emwihv_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443360K) : lbe_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443488K) : alcustop_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443488K) : nometfiller_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443488K) : prboundary_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443616K) : exchange0_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443616K) : exchange0_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443616K) : exchange0_text has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443744K) : exchange1_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443744K) : exchange1_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (443872K) : exchange1_text has 0 polygons
