# Logfile created on 2026-02-26 05:26:36 +0100 by logger.rb/v1.4.3
2026-02-26 05:26:36 +0100: Memory Usage (436648K) : devbondvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436648K) : devbondmet_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436776K) : devtrench_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436776K) : redist_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436904K) : graphbot_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436904K) : graphtop_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436904K) : antvia1_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437032K) : antmetal2_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437032K) : graphcont_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437160K) : siwg_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437160K) : siwg_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437160K) : siwg_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437288K) : sigrating_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437288K) : singrating_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437288K) : graphpas_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437288K) : emwind3_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437416K) : emwihv3_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437416K) : redbulay_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437544K) : smos_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437544K) : graphpad_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437672K) : polimide_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437672K) : polimide_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437672K) : recog_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437800K) : recog_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437800K) : recog_esd has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437928K) : recog_diode has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437928K) : recog_tsv has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (437928K) : recog_iprobe has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438056K) : recog_diffprb has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (438056K) : recog_pillar has 0 polygons
